occupation,soc_code
Military Science Teachers,25-1199
Military Specific Occupations,55-0000
Milk Testers,45-2011
Mill Beam Fitters,51-2041
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035
"Milling Machine Operators, Metal and Plastic",51-4035
"Milling Machine Setters, Metal and Plastic",51-4035
"Milling Machine Tenders, Metal and Plastic",51-4035
Millwrights,49-9044
"Millwrights, Maintenance ",49-9044
Mine Car Mechanics,49-3043
Mine Channeling Machine Operators,47-5042
Mine Cutting and Channeling Machine Operators,47-5042
Mine Cutting Machine Operators,47-5042
Mine Shuttle Car Operators,53-7110
Mine Shuttle Car Operators,53-7111
Mineral Engineering Teachers,25-1032
Mineral Engineers,17-2151
Mineral Surveyors,17-1022
Mineralogists,19-2042
"Miners, Continuous Mining Machine Lode",47-5041
"Miners, Roof Bolting Coal ",47-5061
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2150
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151
"Mining Engineers, Including Mining Safety Engineers",17-2151
Mining Helpers,47-5081
Mining Machine Operators,47-5040
"Mining Machine Operators, All Other",47-5049
"Mining Machine Operators, Continuous",47-5031
Mining Roof Bolters,47-5051
Mining Service Unit Operators,47-5013
Missile Crew Members,55-3014
Missile Navigation Systems Sales Engineers,41-9031
Missile Officers,55-1014
Missile Pad Mechanics,49-2094
Missionaries,21-2099
Mitochondrial Disorders Counselors,29-9092
"Mixers, Clay ",51-9023
"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023
Mixing Machine Operators,51-9023
Mixing Machine Setters,51-9023
Mixing Machine Tenders,51-9023
Mixologists,35-3011
"Mobile Heavy Equipment Mechanics, Except Engines",49-3042
Mobile Home Installers,49-9095
Mobile Home Mechanics,49-9095
Mobile Home Servicers,49-9095
Mobility Scooter Repairers,49-3053
"Model Makers and Patternmakers, Metal and Plastic",51-4060
"Model Makers and Patternmakers, Wood",51-7030
"Model Makers, Architectural Wood",51-7031
"Model Makers, Metal",51-4061
"Model Makers, Metal and Plastic",51-4061
"Model Makers, Plastic",51-4061
"Model Makers, Wood",51-7031
Models,41-9012
"Models, Demonstrators, and Product Promoters",41-9010
"Models, Fashion ",41-9012
"Models, Hand ",41-9012
"Models, Photographer's ",41-9012
Mohels,21-2099
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",51-4070
"Molders, Except Metal and Plastic",51-9195
"Molders, Green Sand ",51-4071
"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195
"Molders, Tire ",51-9197
"Molding Machine Operators, Metal and Plastic",51-4072
"Molding Machine Setters, Metal and Plastic",51-4072
"Molding Machine Tenders, Metal and Plastic",51-4072
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072
Molecular Physicists,19-2012
Molten Iron Pourers,51-4052
Money Order Clerks,43-3071
"Monitors, Gambling ",33-9031
"Monitors, Playground ",33-9099
Monument Masons,47-2022
Morgue Attendants,31-9092
Mortarless Segmental Concrete Masonry Wall Unit Installers,37-3011
Mortarmen,55-3016
Mortgage Accounting Clerks,43-3031
Mortgage Loan Agents,13-2072
Mortgage Loan Closers,43-4131
Mortgage Loan Officers,13-2072
Mortician Helpers,39-4021
Morticians,39-4031
"Morticians, Certified ",39-4031
"Morticians, Undertakers, and Funeral Directors",39-4030
"Morticians, Undertakers, and Funeral Directors",39-4031
Motel Desk Clerks,43-4081
Motion Picture Camera Operators,27-4031
Motion Picture Projectionists,39-3020
Motion Picture Projectionists,39-3021
Motion Study Technicians,17-3026
Motor Boat Mechanics,49-3051
Motor Boat Service Technicians,49-3051
Motor Coach Bus Drivers,53-3021
Motor Scooter Mechanics,49-3052
Motor Vehicle Emissions Inspectors,53-6051
Motor Vehicle License Clerks,43-4031
Motor Vehicle Operators,53-3000
"Motor Vehicle Operators, All Other",53-3099
"Motor Vehicle Operators, Miscellaneous",53-3090
Motor Vehicles Electronic Equipment Installers and Repairers,49-2096
Motor Winders,51-2021
Motorboat Mechanic Helpers,49-9098
Motorboat Mechanics and Service Technicians,49-3051
Motorboat Operators,53-5022
Motorcycle Deliverers,53-3099
Motorcycle Mechanics,49-3052
Motorcycle Police,33-3051
Motorcycle Service Technicians,49-3052
"Mounters, Lens",51-9083
"Mounters, Plate ",51-5111
Movie Projectionists,39-3021
Moving Van Drivers,53-3032
MRI Technologists,29-2035 
Multimedia Animators,27-1014
Multimedia Artists,27-1014
Multimedia Artists and Animators,27-1014
Multimedia Collections Specialists,25-9011
Multimedia Production Assistants,27-4011
Multimedia Services Coordinators,25-9011
Multi-operation Forming Machine Setters,51-4081
"Multiple Machine Tool Operators, Metal and Plastic",51-4081
"Multiple Machine Tool Setters, Metal and Plastic",51-4081
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4080
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081
"Multiple Machine Tool Tenders, Metal and Plastic",51-4081
Municipal Clerks,43-4031
Municipal Fire Fighting and Prevention Supervisors,33-1021
Museum Conservators,25-4013
Museum Exhibit Technicians,25-4013
Museum Guides,39-7011
Museum Technicians,25-4013
Museum Technicians and Conservators,25-4013
Music Composers,27-2041
Music Directors,27-2041
Music Directors and Composers,27-2041
Music Librarians,25-4021
"Music Teachers, Postsecondary",25-1121
Music Therapists,29-1129
Musical Instrument Repairers,49-9063
Musical Instrument Repairers and Tuners,49-9063
Musical Instrument Tuners,49-9063
Musicians,27-2042
Musicians and Singers,27-2042
"Musicians, Singers, and Related Workers",27-2040
Mutuel Tellers,41-2012
Mystery Shoppers,13-1199
Nail Technicians,39-5092
Nannies,39-9011
Narcotics Investigators,33-3021
National Airline Pilots,53-2011
Natural Gas Engineers,17-2171
Natural Sciences Managers,11-9120
Natural Sciences Managers,11-9121
Naturopathic Physicians,29-1199
Naval Architects,17-2121
Naval Engineers,17-2121
Naval Surface Fire Support Planners,55-1014
Neon Tube Benders,51-9195
Network Administrators,15-1142
Network and Computer Systems Administrators,15-1142
Network Coordinators,15-1142
Network Designers,15-1143
Network Developers,15-1143
Network Diagnostic Support Specialist,15-1152
Network Security Administrators,15-1142
Network Security Analysts,15-1122
Network Support Technicians,15-1152
Network Technicians,15-1152
Neuropsychiatrists,29-1066
New Accounts Banking Representatives,43-4141
New Accounts Clerks,43-4140
New Accounts Clerks,43-4141
"News Analysts, Broadcast",27-3021
"News Analysts, Reporters and Correspondents",27-3020
News Anchors,27-3021
News Commentators,27-3021
News Vendors,41-9091
News Videographers,27-4031
Newscasters,27-3021
Newspaper Carriers,41-9091
Newspaper Delivery Drivers,53-3031
Nickel Platers,51-4193
Nitric Acid Plant Operators,51-8091
Nonfarm Animal Caretakers,39-2020
Nonfarm Animal Caretakers,39-2021
Nonrestaurant Food Servers,35-3041
"Non-Retail Sales Workers, First-Line Supervisors",41-1012
Notaries Public,43-9199
Nuclear Cardiology Technologists,29-2033
Nuclear Control Room Operators,51-8011
Nuclear Engineers,17-2160
Nuclear Engineers,17-2161
Nuclear Equipment Sales Engineers,41-9031
Nuclear Medicine Technologists,29-2033
Nuclear Monitoring Technicians,19-4051
Nuclear Power Reactor Operators,51-8011
Nuclear Radiation Engineers,17-2161
Nuclear Reactor Operators,51-8011
Nuclear Station Operators,51-8011
Nuclear Technicians,19-4050
Nuclear Technicians,19-4051
Nurse Anesthetists,29-1150
Nurse Anesthetists,29-1151
Nurse Midwives,29-1160
Nurse Midwives,29-1161
Nurse Practitioners,29-1170
Nurse Practitioners,29-1171
"Nurse Practitioners, Gerontological ",29-1171
Nursery School Teachers,25-2011
"Nurses, Coronary Care Unit ",29-1141
"Nurses, Licensed Practical",29-2061
"Nurses, Licensed Vocational",29-2061
"Nurses, Pediatric Licensed Practical ",29-2061
"Nurses, Psychiatric ",29-1141
"Nurses, Registered",29-1141
Nursing Aides,31-1014
Nursing Assistants,31-1014
Nursing Attendants,31-1014
Nursing Care Attendants,31-1014
"Nursing Instructors and Teachers, Postsecondary",25-1072
"Nursing Instructors, Postsecondary",25-1072
"Nursing Teachers, Postsecondary",25-1072
"Nursing, Psychiatric, and Home Health Aides",31-1000
"Nursing, Psychiatric, and Home Health Aides",31-1010
Nutrition Professors,25-1071
Nutritionists,29-1031
"Nutritionists, Animal ",19-1011
"Nutritionists, Public Health ",29-1031
OB Specialists,29-1064
OB/GYNs,29-1064
Oboists,27-2042
"Observers, Seismic ",19-4041
Obstetrical Anesthesiologists,29-1061
Obstetricians,29-1064
Obstetricians and Gynecologists,29-1064
Occupational Health and Safety Specialists,29-9011
Occupational Health and Safety Specialists and Technicians,29-9010
Occupational Health and Safety Technicians,29-9012
Occupational Health and Safety Technologists (OHST),29-9012
Occupational Health Specialists,29-9011
Occupational Health Technicians,29-9012
Occupational Rehabilitation Aides,31-2012
Occupational Safety Specialists,29-9011
Occupational Safety Technicians,29-9012
Occupational Therapist Aides,31-2012
Occupational Therapists,29-1122
Occupational Therapy Aides,31-2012
Occupational Therapy and Physical Therapist Assistants and Aides,31-2000
Occupational Therapy Assistants,31-2011
Occupational Therapy Assistants and Aides,31-2010
Ocean Engineers,17-2051
Ocean Program Administrators,11-9121
Oceanographers,19-2042
Oceanography Professors,25-1051
Ocular Care Technologists,29-2057
"Offbearers, Machine",53-7063
Office and Administrative Support Occupations,43-0000
"Office and Administrative Support Workers, All Other",43-9199
"Office and Administrative Support Workers, Miscellaneous",43-9190
Office Assistants,43-9061
"Office Clerks, General",43-9060
"Office Clerks, General",43-9061
"Office Machine Operators, Except Computer",43-9070
"Office Machine Operators, Except Computer",43-9071
Office Machine Repairers,49-2011
Office Runners,43-5021
Office Secretaries,43-6014
"Office Support Workers, All Other",43-9199
"Office Workers, First Line Supervisors",43-1011
"Officers, Air Crew",55-1011
"Officers, Air Defense Artillery",55-1014
"Officers, Aircraft Launch",55-1012
"Officers, Aircraft Recovery",55-1012
"Officers, Animal Control ",33-9011
"Officers, Armored Assault Vehicle",55-1013
"Officers, Artillery",55-1014
"Officers, Assault Amphibious Vehicle (AAV) ",55-1013
"Officers, Border Patrol ",33-3051
"Officers, Budget ",13-2031
"Officers, Casino Surveillance",33-9031
"Officers, Catapult and Arresting Gear ",55-1012
"Officers, Cavalry ",55-1013
"Officers, Chemical, Biological, Radiological, and Nuclear (CBRN) ",55-1019
"Officers, Chief Technology ",11-3021
"Officers, Combat Information Center ",55-1015
"Officers, Command and Control ",55-1015
"Officers, Command Center",55-1015
"Officers, Commanding, Homicide Squad",33-1012
"Officers, Compliance",13-1041
"Officers, Conservation Enforcement ",33-3031
"Officers, Control Center",55-1015
"Officers, Correctional",33-3012
"Officers, Court Security ",33-3011
"Officers, Donor Relations ",13-1131
"Officers, Environmental Protection Fire Control ",33-2022
"Officers, Equal Employment Opportunity",13-1041
"Officers, Escrow ",23-2093
"Officers, Flight Deck ",55-1012
"Officers, Forest Fire Control ",33-2022
"Officers, Fundraising ",13-1131
"Officers, Humane ",33-9011
"Officers, Infantry",55-1016
"Officers, Infantry Weapons ",55-1016
"Officers, Joint Strategic Plans and Policy ",55-1019
"Officers, Juvenile Corrections ",33-3012
"Officers, Juvenile Probation ",21-1092
"Officers, Landing Signal ",55-1012
"Officers, Loan",13-2072
"Officers, Loan Servicing",13-2072
"Officers, Missile",55-1014
"Officers, Mortgage Loan",13-2072
"Officers, Parachute/Combatant Diver ",55-1017
"Officers, Parking Enforcement ",33-3041
"Officers, Parole ",21-1092
"Officers, Police",33-3051
"Officers, Probation",21-1092
"Officers, Radio",27-4013
"Officers, Real Estate Loan ",13-2072
"Officers, Sea-Air-Land ",55-1017
"Officers, Sheriff's Patrol",33-3051
"Officers, Special Forces ",55-1017
"Officers, Special Technical Operations ",55-1019
"Officers, Tank ",55-1013
"Officers, Targeting Acquisition ",55-1014
"Officers, Title ",23-2093
"Officers, Transportation Security ",33-9093 
"Officers, Veterans Service ",21-1099
"Officers, Wildlife ",33-3031
"Officials, Sporting",27-2023
Offset Press Operators,51-5112
Oil Burner Repairers,49-9021
Oil Derrick Operators,47-5011
Oil Drilling Engineers,17-2171
Oil Exploration Engineers,17-2171
Oil Field Roustabouts,47-5071
Oil Pipeline Operators,51-8093
Oil Refiners,51-8093
Oil Rig Roughnecks,47-5071
Oil Rotary Drill Operators,47-5012
Oil Roustabouts,47-5051
Oil Service Unit Operators,47-5013
Oil Well Cable Tool Operators,47-5012
Oil Well Drillers,47-5012
Oil Well Pumpers,53-7073
"Oilers, Crane ",49-9043
"Oilers, Marine",53-5011
Olive Pitters,51-3099
Ombudsmen,23-1022
Oncology Social Workers,21-1022
Onyx-Chip Terrazzo Workers,47-2053
Operating Engineers,47-2073
Operating Engineers and Other Construction Equipment Operators,47-2073
Operating Room (OR) Techs,29-2055
"Operating Workers, First-Line Supervisors",51-1011
Operations Analysts,15-2031
Operations Managers,11-1021
Operations Research Analysts,15-2030
Operations Research Analysts,15-2031
Operations Specialties Managers,11-3000
"Operator, Radial Drill Press, Plastics",51-4032
"Operators, 911",43-5031
"Operators, Acid Purification Equipment ",51-9011
"Operators, Adhesive Bonding Machine",51-9191
"Operators, Agricultural Equipment",45-2091
"Operators, Air Hammer ",47-2061
"Operators, Air Traffic Control  ",53-2021
"Operators, Aluminum Molding Machine ",51-4072
"Operators, Annealing Furnace ",51-4191
"Operators, Arch Cushion Press ",51-6042
"Operators, Asphalt Paving Machine",47-2071
"Operators, Asphalt Plant ",51-8099
"Operators, Asphalt Roller ",47-2071
"Operators, Aviation Electronic Warfare ",55-3011
"Operators, Backhoe ",53-7032
"Operators, Ballast Cleaning Machine",47-4061
"Operators, Beveling and Edging Machine ",51-9021
"Operators, Blacktop-Paver ",47-2071
"Operators, Blending Machine",51-9023
"Operators, Blind Stitch Machine ",51-6031
"Operators, Blow Mold ",51-4072
"Operators, Boiler",51-8021
"Operators, Boiler Room  ",51-8021
"Operators, Bondactor Machine ",49-9045
"Operators, Bookbinding Machine",51-5113
"Operators, Boom Crane ",53-7021
"Operators, Bore Miner ",47-5042
"Operators, Boring Machine Tool, Metal and Plastic",51-4032
"Operators, Boring Mill, Metal",51-4032
"Operators, Brazing Machine",51-4122
"Operators, Buffing Machine Tool, Metal and Plastic",51-4033
"Operators, Bulldozer ",47-2073
"Operators, Butane Compressor ",53-7071
"Operators, Button Sewing Machine",51-6031
"Operators, Buzzsaw ",51-7041
"Operators, C-13 Catapult ",55-3012
"Operators, Carton Making Machine ",51-9196
"Operators, Cash Register ",41-2011
"Operators, Casting Machine, Metal and Plastic",51-4072
"Operators, Chemical Equipment",51-9011
"Operators, Chemical Plant",51-8091
"Operators, Chemical Process Equipment ",51-9011
"Operators, Chemical System",51-8091
"Operators, Cherry Picker ",53-7021
"Operators, Circle Saw ",51-7041
"Operators, Clarifying Machine",51-9012
"Operators, Clay Mine Cutting Machine ",47-5042
"Operators, Cleaning Equipment",51-9192
"Operators, Coal Hauler ",53-7111
"Operators, Coal Tower ",53-7021
"Operators, Coating Machine",51-9121
"Operators, Coating Machine, Metal and Plastic",51-4193
"Operators, Coin Wrapping Machine ",43-9071
"Operators, Cold Header ",51-4022
"Operators, Combination Machine Tool ",51-4081
"Operators, Combine ",45-2091
"Operators, Communications Equipment, All Other",43-2099
"Operators, Compacting Machine",51-9041
"Operators, Computed Tomography (CT) Scanner ",29-2034
"Operators, Computer",43-9011
"Operators, Computer Numerically Controlled (CNC) Shot Peening ",51-4011
"Operators, Computer Peripheral Equipment ",43-9011
"Operators, Computer-Controlled Machine Tool, Metal and Plastic",51-4011
"Operators, Concrete Batch Plant ",51-8099
"Operators, Concrete Paving Machine",47-2071
"Operators, Console ",43-9011
"Operators, Continuous Mining Machine",47-5041
"Operators, Control Tower ",53-2021
"Operators, Conveyor",53-7011
"Operators, Conveyor Belt ",53-7011
"Operators, Cooling Equipment",51-9193
"Operators, Copy Machine ",43-9071
"Operators, Coremaking Machine, Metal and Plastic",51-4072
"Operators, Corrugator ",51-9196
"Operators, Crane",53-7021
"Operators, Crimping Machine, Metal",51-4031
"Operators, Crochet Machine ",51-6063
"Operators, Crushing Machine",51-9021
"Operators, Custom T-shirt Embroidery Machine",51-6031
"Operators, Cutting Machine",51-9032
"Operators, Cutting Machine, Metal and Plastic",51-4031
